event_num,section,class_name,action,frame,time_sec,time_mmss
1,1,palmolive_orange,purchase,58,1.93,00:01.9
2,1,bulls_eye_bbq_sauce_original,purchase,,,
3,1,spam,purchase,,,
4,1,campbells_chunky_classic_chicken_noodle,purchase,200,6.67,00:06.7
5,1,crystal_hot_sauce,purchase,,,
6,1,campbells_chicken_noodle_soup,purchase,,,
7,1,monster_energy,purchase,378,12.6,00:12.6
8,1,hersheys_cocoa,purchase,442,14.73,00:14.7
9,1,redbull,purchase,,,
10,1,frappuccino_coffee,purchase,528,17.6,00:17.6
11,1,cholula_chipotle_hot_sauce,purchase,598,19.93,00:19.9
12,1,tapatio_hot_sauce,purchase,650,21.67,00:21.7
13,1,dr_pepper,purchase,,,
14,1,a1_steak_sauce,purchase,756,25.2,00:25.2
15,1,coca_cola_glass_bottle,purchase,816,27.2,00:27.2
16,1,aunt_jemima_original_syrup,purchase,844,28.13,00:28.1
17,1,white_rain_body_wash,purchase,,,
18,1,pringles_bbq,purchase,1020,34.0,01:04.0
19,1,listerine_green,purchase,1084,36.13,01:06.1
20,2,coffee_mate_french_vanilla,return,1222,40.73,01:20.7
21,2,jif_creamy_peanut_butter,return,1276,42.53,01:22.5
22,2,pop_tararts_strawberry,return,1348,44.93,01:24.9
23,2,pepperidge_farm_milk_chocolate_macadamia_cookies,return,1462,48.73,01:28.7
24,2,hunts_sauce,return,1530,51.0,01:31.0
25,2,nabisco_nilla_wafers,return,,,
26,2,mom_to_mom_butternut_squash_pear,return,1716,57.2,01:37.2
27,2,bumblebee_albacore,return,,,
28,2,dove_white,return,,,
29,2,band_aid_clear_strips,return,1996,66.53,01:46.5
30,2,mom_to_mom_sweet_potato_corn_apple,return,,,
31,2,dove_pink,return,,,
32,2,crayola_24_crayons,return,2220,74.0,01:54.0
33,2,snickers,return,2324,77.47,01:57.5
34,2,twix,return,2366,78.87,01:58.9
35,2,hersheys_bar,return,2450,81.67,02:01.7
