timestamp,description,total_gt,total_sub,TP,FP,FN,Precision,Recall,F1,RTF,accuracy_score,rtf_score,total_score
2026-06-19,초기 버전 — win=7 gap=10 conf=0.4 (UNKNOWN 상태 포함),105,246,-,-,-,-,-,-,-,-,-,-
2026-06-21,튜닝 1차 — win=9 gap=30 conf=0.4,105,170,-,-,-,-,-,-,-,-,-,-
2026-06-21,튜닝 2차 — win=9 gap=60 conf=0.4,105,144,-,-,-,-,-,-,-,-,-,-
2026-06-21,튜닝 3차 — win=9 gap=90 conf=0.4,105,130,-,-,-,-,-,-,-,-,-,-
2026-06-22,튜닝 4차 — win=15 gap=90 conf=0.5 (conf 올리면 악화),105,124,-,-,-,-,-,-,-,-,-,-
2026-06-22,확정 파라미터 win=25 gap=90 (UNKNOWN 상태 반환 리콜 ~7%),105,112,-,-,-,-,-,-,0.742,-,20.0,-
2026-06-23,버그1+2: UNKNOWN 제거 + 연쇄잠김 해제 → recall 42%→79% (83/105),105,-,-,-,-,-,-,-,0.742,-,20.0,-
2026-06-23,버그3: dove_white/bumblebee/dove_pink max-confidence 융합 → recall 79%→82% (86/105),105,-,-,-,-,-,-,-,0.742,-,20.0,-
2026-06-23 13:28,UNKNOWN 제거 + history reset (skip=2) [order F1 미측정],105,108,-,-,-,-,-,-,0.742,-,20.0,-
2026-06-23 14:40,ground_truth_v2(시간 보정) 기준 + bumblebee/dove quorum 픽스,105,104,87,17,18,83.7%,82.9%,83.3%,0.742,33.3,20.0,53.3
2026-06-23 19:16,skip=2 재실행 (14:40과 동일 코드 — order F1 근사),105,104,87,17,18,83.7%,82.9%,83.3%,0.7583,33.3,20.0,53.3
2026-06-23 19:32,Phase 9 — redbull/crystal_hot_sauce/dr_pepper quorum=1 추가 (F1 84.9%),105,107,90,17,15,84.1%,85.7%,84.9%,0.7575,34.0,20.0,54.0
2026-06-24 14:53,Phase 10 — spam quorum=2 추가 (F1 85.4%),105,108,91,17,14,84.3%,86.7%,85.4%,0.7575,34.2,20.0,54.2
2026-06-24 17:10,Phase 11 — SORT 트래커 max_age=15 기본 적용 (F1 85.3%),105,-,-,-,-,-,-,85.3%,0.756,34.1,20.0,54.1
2026-06-25 13:36,Phase 12 — tracker max_age=15 기본 적용,105,106,88,18,17,83.0%,83.8%,83.4%,0.7602,33.4,20.0,53.4
2026-06-25 23:03,skip=2 06-25 23:00,105,108,91,17,14,84.3%,86.7%,85.4%,0.8134,34.2,20.0,54.2
2026-06-25 23:09,skip=2 06-25 23:05,105,108,91,17,14,84.3%,86.7%,85.4%,0.8134,34.2,20.0,54.2
2026-06-25 23:31,skip=2 06-25 23:27,105,106,96,10,9,90.6%,91.4%,91.0%,0.813,36.4,20.0,56.4
