   time cam class                                      conf  margin
    0.0   4 bulls_eye_bbq_sauce_original              0.626   0.087
    0.2   4 bulls_eye_bbq_sauce_original              0.604   0.056
    0.2   4 bulls_eye_bbq_sauce_original              0.491   0.202
    0.4   4 bulls_eye_bbq_sauce_original              0.472   0.284
    0.4   4 bulls_eye_bbq_sauce_original              0.410   0.043
    0.6   4 bulls_eye_bbq_sauce_original              0.481   0.197
    0.6   4 bulls_eye_bbq_sauce_original              0.388   0.102
    0.8   4 bulls_eye_bbq_sauce_original              0.499   0.143
    1.0   4 bulls_eye_bbq_sauce_original              0.428   0.296
    1.2   4 bulls_eye_bbq_sauce_original              0.626   0.020
    1.4   4 bulls_eye_bbq_sauce_original              0.906   0.716
    1.4   4 bulls_eye_bbq_sauce_original              0.462   0.010
    1.6   4 bulls_eye_bbq_sauce_original              0.891   0.677
    1.6   4 bulls_eye_bbq_sauce_original              0.526   0.299
    1.8   4 bulls_eye_bbq_sauce_original              0.899   0.697
    1.8   4 bulls_eye_bbq_sauce_original              0.493   0.110
    2.0   4 bulls_eye_bbq_sauce_original              0.893   0.665
    2.0   4 bulls_eye_bbq_sauce_original              0.511   0.274
    2.2   4 bulls_eye_bbq_sauce_original              0.895   0.659
    2.2   4 bulls_eye_bbq_sauce_original              0.467   0.140
    2.4   4 bulls_eye_bbq_sauce_original              0.927   0.767
    2.4   4 bulls_eye_bbq_sauce_original              0.424   0.230
    2.6   4 bulls_eye_bbq_sauce_original              0.916   0.741
    2.6   4 bulls_eye_bbq_sauce_original              0.472   0.275
    2.8   4 bulls_eye_bbq_sauce_original              0.748   0.324
    3.0   4 bulls_eye_bbq_sauce_original              0.699   0.261
