   time cam class                                      conf  margin
  145.0   1 chewy_dips_peanut_butter                  0.444   0.290
  146.0   0 chewy_dips_peanut_butter                  0.420   0.155
  146.0   0 chewy_dips_peanut_butter                  0.377   0.247
  146.0   1 chewy_dips_peanut_butter                  0.892   0.759
  146.0   1 chewy_dips_peanut_butter                  0.464   0.378
  146.0   2 chewy_dips_peanut_butter                  0.950   0.931
  146.0   3 chewy_dips_peanut_butter                  0.930   0.897
  146.0   3 chewy_dips_peanut_butter                  0.481   0.345
  146.0   3 chewy_dips_peanut_butter                  0.360   0.220
  146.0   4 chewy_dips_peanut_butter                  0.924   0.904
  147.0   0 chewy_dips_peanut_butter                  0.618   0.593
  147.0   0 chewy_dips_peanut_butter                  0.570   0.488
  147.0   1 chewy_dips_peanut_butter                  0.860   0.765
  147.0   1 chewy_dips_peanut_butter                  0.428   0.338
  147.0   1 chewy_dips_peanut_butter                  0.387   0.132
  147.0   2 chewy_dips_peanut_butter                  0.956   0.944
  147.0   3 chewy_dips_peanut_butter                  0.899   0.875
  147.0   3 chewy_dips_peanut_butter                  0.512   0.479
  147.0   3 chewy_dips_peanut_butter                  0.361   0.216
  147.0   4 chewy_dips_peanut_butter                  0.968   0.940
  148.0   0 chewy_dips_peanut_butter                  0.573   0.545
  148.0   0 chewy_dips_peanut_butter                  0.561   0.442
  148.0   1 chewy_dips_peanut_butter                  0.875   0.764
  148.0   1 chewy_dips_peanut_butter                  0.371   0.128
  148.0   1 chewy_dips_peanut_butter                  0.352   0.282
  148.0   2 chewy_dips_peanut_butter                  0.958   0.946
  148.0   3 chewy_dips_peanut_butter                  0.902   0.881
  148.0   3 chewy_dips_peanut_butter                  0.508   0.472
  148.0   3 chewy_dips_peanut_butter                  0.384   0.299
  148.0   4 chewy_dips_peanut_butter                  0.964   0.939
  149.0   0 chewy_dips_peanut_butter                  0.762   0.738
  149.0   1 chewy_dips_peanut_butter                  0.866   0.787
  149.0   1 chewy_dips_peanut_butter                  0.482   0.206
