   time cam class                                      conf  margin
   72.0   0 nature_valley_crunchy_oats_n_honey        0.546   0.446
   73.0   0 crayola_24_crayons                        0.906   0.857
   73.0   0 crayola_24_crayons                        0.500   0.432
   73.0   0 crayola_24_crayons                        0.442   0.413
   73.0   1 nature_valley_crunchy_oats_n_honey        0.914   0.888
   73.0   1 crayola_24_crayons                        0.794   0.551
   73.0   2 nature_valley_crunchy_oats_n_honey        0.909   0.846
   73.0   3 crayola_24_crayons                        0.977   0.951
   74.0   0 crayola_24_crayons                        0.865   0.801
   74.0   0 crayola_24_crayons                        0.417   0.283
   74.0   0 crayola_24_crayons                        0.384   0.354
   74.0   1 nature_valley_crunchy_oats_n_honey        0.891   0.853
   74.0   1 crayola_24_crayons                        0.798   0.571
   74.0   2 nature_valley_crunchy_oats_n_honey        0.910   0.850
   74.0   2 nature_valley_crunchy_oats_n_honey        0.375   0.182
   74.0   3 crayola_24_crayons                        0.976   0.950
   75.0   0 crayola_24_crayons                        0.891   0.848
   75.0   0 crayola_24_crayons                        0.444   0.422
   75.0   0 crayola_24_crayons                        0.404   0.290
   75.0   0 crayola_24_crayons                        0.359   0.296
   75.0   1 nature_valley_crunchy_oats_n_honey        0.908   0.867
   75.0   1 crayola_24_crayons                        0.840   0.668
   75.0   2 nature_valley_crunchy_oats_n_honey        0.907   0.833
   75.0   3 crayola_24_crayons                        0.976   0.948
   76.0   0 crayola_24_crayons                        0.875   0.827
   76.0   0 crayola_24_crayons                        0.493   0.468
   76.0   0 crayola_24_crayons                        0.364   0.252
   76.0   1 nature_valley_crunchy_oats_n_honey        0.917   0.887
   76.0   1 crayola_24_crayons                        0.654   0.492
   76.0   2 nature_valley_crunchy_oats_n_honey        0.872   0.812
   76.0   3 crayola_24_crayons                        0.980   0.962
   77.0   0 crayola_24_crayons                        0.764   0.723
   77.0   0 crayola_24_crayons                        0.700   0.672
   77.0   0 crayola_24_crayons                        0.640   0.589
   77.0   1 nature_valley_crunchy_oats_n_honey        0.905   0.875
   77.0   1 crayola_24_crayons                        0.600   0.431
   77.0   2 nature_valley_crunchy_oats_n_honey        0.815   0.728
   77.0   3 crayola_24_crayons                        0.982   0.964
   78.0   0 crayola_24_crayons                        0.810   0.750
   78.0   0 crayola_24_crayons                        0.719   0.648
   78.0   0 crayola_24_crayons                        0.488   0.452
   78.0   1 nature_valley_crunchy_oats_n_honey        0.918   0.881
   78.0   1 crayola_24_crayons                        0.594   0.334
   78.0   2 nature_valley_crunchy_oats_n_honey        0.792   0.710
   78.0   3 crayola_24_crayons                        0.980   0.964
   79.0   0 crayola_24_crayons                        0.785   0.726
   79.0   0 crayola_24_crayons                        0.687   0.615
   79.0   0 crayola_24_crayons                        0.458   0.432
   79.0   1 nature_valley_crunchy_oats_n_honey        0.912   0.873
   79.0   1 crayola_24_crayons                        0.667   0.394
   79.0   2 nature_valley_crunchy_oats_n_honey        0.809   0.732
   79.0   3 crayola_24_crayons                        0.983   0.966
   80.0   0 crayola_24_crayons                        0.819   0.751
   80.0   0 crayola_24_crayons                        0.662   0.586
   80.0   0 crayola_24_crayons                        0.583   0.551
   80.0   1 nature_valley_crunchy_oats_n_honey        0.929   0.895
   80.0   1 crayola_24_crayons                        0.684   0.559
   80.0   2 nature_valley_crunchy_oats_n_honey        0.773   0.685
   80.0   3 crayola_24_crayons                        0.977   0.952
   81.0   0 crayola_24_crayons                        0.823   0.773
   81.0   0 crayola_24_crayons                        0.697   0.637
   81.0   0 crayola_24_crayons                        0.472   0.445
   81.0   1 nature_valley_crunchy_oats_n_honey        0.915   0.875
   81.0   1 crayola_24_crayons                        0.667   0.420
   81.0   2 nature_valley_crunchy_oats_n_honey        0.803   0.736
   81.0   3 crayola_24_crayons                        0.985   0.963
   82.0   0 crayola_24_crayons                        0.844   0.792
   82.0   0 crayola_24_crayons                        0.700   0.623
   82.0   0 crayola_24_crayons                        0.490   0.463
   82.0   1 nature_valley_crunchy_oats_n_honey        0.912   0.881
   82.0   1 crayola_24_crayons                        0.619   0.512
   82.0   2 nature_valley_crunchy_oats_n_honey        0.771   0.687
   82.0   3 crayola_24_crayons                        0.979   0.956
   83.0   0 crayola_24_crayons                        0.813   0.765
   83.0   0 crayola_24_crayons                        0.673   0.625
   83.0   0 crayola_24_crayons                        0.453   0.425
   83.0   1 nature_valley_crunchy_oats_n_honey        0.924   0.889
   83.0   1 crayola_24_crayons                        0.620   0.510
   83.0   1 crayola_24_crayons                        0.421   0.364
   83.0   2 nature_valley_crunchy_oats_n_honey        0.782   0.701
   83.0   3 crayola_24_crayons                        0.985   0.962
   84.0   0 crayola_24_crayons                        0.737   0.665
   84.0   0 crayola_24_crayons                        0.639   0.600
   84.0   0 crayola_24_crayons                        0.448   0.418
   84.0   1 nature_valley_crunchy_oats_n_honey        0.908   0.878
   84.0   1 crayola_24_crayons                        0.635   0.408
   84.0   2 nature_valley_crunchy_oats_n_honey        0.771   0.671
   84.0   3 crayola_24_crayons                        0.982   0.956
   85.0   0 crayola_24_crayons                        0.683   0.612
   85.0   0 crayola_24_crayons                        0.455   0.413
   85.0   0 crayola_24_crayons                        0.365   0.339
   85.0   1 nature_valley_crunchy_oats_n_honey        0.903   0.866
   85.0   1 crayola_24_crayons                        0.579   0.376
   85.0   2 nature_valley_crunchy_oats_n_honey        0.836   0.737
   85.0   3 crayola_24_crayons                        0.980   0.961
   86.0   0 crayola_24_crayons                        0.656   0.602
   86.0   0 crayola_24_crayons                        0.528   0.490
   86.0   1 nature_valley_crunchy_oats_n_honey        0.921   0.895
   86.0   1 crayola_24_crayons                        0.470   0.400
   86.0   1 crayola_24_crayons                        0.459   0.369
   86.0   2 nature_valley_crunchy_oats_n_honey        0.729   0.666
   86.0   3 crayola_24_crayons                        0.979   0.954
   87.0   0 crayola_24_crayons                        0.705   0.647
   87.0   0 crayola_24_crayons                        0.593   0.551
   87.0   0 crayola_24_crayons                        0.359   0.303
   87.0   1 nature_valley_crunchy_oats_n_honey        0.914   0.881
   87.0   1 crayola_24_crayons                        0.666   0.512
   87.0   2 nature_valley_crunchy_oats_n_honey        0.686   0.611
   87.0   3 crayola_24_crayons                        0.976   0.948
   88.0   0 crayola_24_crayons                        0.615   0.577
   88.0   0 crayola_24_crayons                        0.482   0.457
   88.0   0 crayola_24_crayons                        0.475   0.434
   88.0   0 crayola_24_crayons                        0.351   0.302
   88.0   1 nature_valley_crunchy_oats_n_honey        0.917   0.887
   88.0   1 crayola_24_crayons                        0.596   0.395
   88.0   1 crayola_24_crayons                        0.425   0.360
   88.0   2 nature_valley_crunchy_oats_n_honey        0.687   0.627
   88.0   3 crayola_24_crayons                        0.975   0.949
