   time cam class                                      conf  margin
   61.6   3 dove_white                                0.383   0.354
   61.8   3 dove_white                                0.836   0.803
   62.0   3 dove_white                                0.744   0.721
   62.0   3 dove_white                                0.455   0.403
   62.2   3 dove_white                                0.962   0.936
   62.2   3 dove_white                                0.847   0.822
   62.2   3 dove_white                                0.440   0.412
   62.4   3 dove_white                                0.965   0.934
   62.4   3 dove_white                                0.845   0.825
   62.4   3 dove_white                                0.458   0.432
   62.6   3 dove_white                                0.968   0.933
   62.6   3 dove_white                                0.871   0.850
   62.6   3 dove_white                                0.449   0.424
   62.8   3 dove_white                                0.956   0.933
   62.8   3 dove_white                                0.865   0.843
   62.8   3 dove_white                                0.542   0.514
   63.0   3 dove_white                                0.963   0.937
   63.0   3 dove_white                                0.860   0.839
   63.0   3 dove_white                                0.504   0.476
   63.2   3 dove_white                                0.959   0.928
   63.2   3 dove_white                                0.846   0.822
   63.2   3 dove_white                                0.486   0.459
   63.4   3 dove_white                                0.960   0.929
   63.4   3 dove_white                                0.833   0.809
   63.4   3 dove_white                                0.393   0.364
   63.6   3 dove_white                                0.967   0.931
   63.6   3 dove_white                                0.901   0.877
   63.6   3 dove_white                                0.506   0.474
   63.8   3 dove_white                                0.966   0.938
   63.8   3 dove_white                                0.898   0.875
   63.8   3 dove_white                                0.473   0.444
   64.0   3 dove_white                                0.967   0.926
   64.0   3 dove_white                                0.849   0.826
   64.0   3 dove_white                                0.639   0.604
   64.2   3 dove_white                                0.952   0.927
   64.2   3 dove_white                                0.560   0.526
   64.6   3 dove_white                                0.934   0.851
   64.6   3 dove_white                                0.510   0.464
   64.6   3 dove_white                                0.450   0.428
   64.8   3 dove_white                                0.966   0.935
   64.8   3 dove_white                                0.898   0.877
   64.8   3 dove_white                                0.523   0.509
   65.0   3 dove_white                                0.967   0.937
   65.0   3 dove_white                                0.901   0.882
   65.2   3 dove_white                                0.971   0.923
   65.2   3 dove_white                                0.892   0.871
   65.4   3 dove_white                                0.968   0.933
   65.4   3 dove_white                                0.920   0.898
   65.6   3 dove_white                                0.969   0.933
   65.6   3 dove_white                                0.927   0.902
   65.6   3 dove_white                                0.433   0.414
   65.8   3 dove_white                                0.969   0.936
   65.8   3 dove_white                                0.922   0.896
   66.0   3 dove_white                                0.967   0.935
   66.0   3 dove_white                                0.931   0.909
   66.0   3 dove_white                                0.362   0.340
   66.2   3 dove_white                                0.960   0.931
   66.2   3 dove_white                                0.908   0.886
   66.4   3 dove_white                                0.963   0.931
   66.4   3 dove_white                                0.938   0.913
   66.4   3 dove_white                                0.446   0.425
   66.6   3 dove_white                                0.970   0.935
   66.6   3 dove_white                                0.914   0.888
   66.6   3 dove_white                                0.465   0.437
   66.8   3 dove_white                                0.966   0.931
   66.8   3 dove_white                                0.918   0.892
   66.8   3 dove_white                                0.473   0.451
   67.0   3 dove_white                                0.968   0.929
   67.0   3 dove_white                                0.926   0.901
   67.2   3 dove_white                                0.968   0.890
   67.2   3 dove_white                                0.929   0.905
   67.2   3 dove_white                                0.497   0.481
   67.4   3 dove_white                                0.960   0.917
   67.4   3 dove_white                                0.928   0.910
   67.6   3 dove_white                                0.971   0.927
   67.6   3 dove_white                                0.826   0.809
   67.8   3 dove_white                                0.962   0.922
   67.8   3 dove_white                                0.899   0.881
   68.0   3 dove_white                                0.968   0.930
   68.0   3 dove_white                                0.904   0.882
   68.2   3 dove_white                                0.961   0.920
   68.2   3 dove_white                                0.876   0.857
   68.4   3 dove_white                                0.969   0.935
   68.4   3 dove_white                                0.907   0.885
   68.4   3 dove_white                                0.422   0.404
   68.6   3 dove_white                                0.967   0.936
   68.6   3 dove_white                                0.866   0.848
   68.8   3 dove_white                                0.967   0.932
   68.8   3 dove_white                                0.919   0.897
   69.0   3 dove_white                                0.967   0.928
   69.0   3 dove_white                                0.927   0.902
   69.0   3 dove_white                                0.439   0.418
   69.2   3 dove_white                                0.969   0.926
   69.2   3 dove_white                                0.919   0.896
   69.4   3 dove_white                                0.960   0.923
   69.4   3 dove_white                                0.921   0.898
   69.4   3 dove_white                                0.525   0.514
   69.6   3 dove_white                                0.961   0.931
   69.6   3 dove_white                                0.935   0.913
   69.8   3 dove_white                                0.966   0.929
   69.8   3 dove_white                                0.923   0.900
   69.8   3 dove_white                                0.363   0.339
   70.0   3 dove_white                                0.972   0.925
   70.0   3 dove_white                                0.924   0.902
   70.2   3 dove_white                                0.968   0.932
   70.2   3 dove_white                                0.932   0.909
   70.4   3 dove_white                                0.968   0.922
   70.4   3 dove_white                                0.905   0.883
   70.4   3 dove_white                                0.396   0.368
   70.6   3 dove_white                                0.959   0.926
   70.6   3 dove_white                                0.921   0.904
   70.8   3 dove_white                                0.967   0.924
   70.8   3 dove_white                                0.913   0.896
   71.0   3 dove_white                                0.967   0.929
   71.0   3 dove_white                                0.929   0.909
   71.2   3 dove_white                                0.968   0.930
   71.2   3 dove_white                                0.887   0.867
   71.4   3 dove_white                                0.956   0.925
   71.4   3 dove_white                                0.942   0.921
   71.6   3 dove_white                                0.969   0.930
   71.6   3 dove_white                                0.929   0.901
   71.8   3 dove_white                                0.969   0.934
   71.8   3 dove_white                                0.924   0.900
   72.0   3 dove_white                                0.970   0.929
   72.0   3 dove_white                                0.933   0.910
   72.2   3 dove_white                                0.963   0.931
   72.2   3 dove_white                                0.936   0.913
   72.4   3 dove_white                                0.949   0.924
   72.4   3 dove_white                                0.901   0.883
   72.6   3 dove_white                                0.959   0.934
   72.6   3 dove_white                                0.898   0.877
   72.8   3 dove_white                                0.966   0.940
   72.8   3 dove_white                                0.900   0.882
   73.0   3 dove_white                                0.961   0.933
   73.0   3 dove_white                                0.919   0.901
   73.2   3 dove_white                                0.964   0.928
   73.2   3 dove_white                                0.948   0.929
   73.4   3 dove_white                                0.955   0.928
   73.4   3 dove_white                                0.948   0.931
   73.6   3 dove_white                                0.962   0.932
   73.6   3 dove_white                                0.937   0.915
   73.8   3 dove_white                                0.967   0.935
   73.8   3 dove_white                                0.908   0.891
   74.0   3 dove_white                                0.963   0.938
   74.0   3 dove_white                                0.931   0.912
   74.2   3 dove_white                                0.961   0.932
   74.2   3 dove_white                                0.918   0.897
