   time cam class                                      conf  margin
  130.0   1 haribo_gold_bears_gummi_candy             0.707   0.580
  130.0   2 haribo_gold_bears_gummi_candy             0.835   0.749
  130.0   4 haribo_gold_bears_gummi_candy             0.544   0.505
  131.0   0 haribo_gold_bears_gummi_candy             0.671   0.566
  131.0   2 haribo_gold_bears_gummi_candy             0.877   0.792
  131.0   4 haribo_gold_bears_gummi_candy             0.954   0.922
  132.0   0 haribo_gold_bears_gummi_candy             0.563   0.484
  132.0   0 haribo_gold_bears_gummi_candy             0.557   0.517
  132.0   2 haribo_gold_bears_gummi_candy             0.885   0.794
  132.0   4 haribo_gold_bears_gummi_candy             0.952   0.925
  133.0   0 haribo_gold_bears_gummi_candy             0.772   0.688
  133.0   2 haribo_gold_bears_gummi_candy             0.866   0.767
  133.0   2 haribo_gold_bears_gummi_candy             0.412   0.197
  133.0   4 haribo_gold_bears_gummi_candy             0.975   0.947
  134.0   0 haribo_gold_bears_gummi_candy             0.533   0.475
  134.0   0 haribo_gold_bears_gummi_candy             0.417   0.381
  134.0   2 haribo_gold_bears_gummi_candy             0.849   0.753
  134.0   4 haribo_gold_bears_gummi_candy             0.967   0.946
  135.0   0 haribo_gold_bears_gummi_candy             0.892   0.829
  135.0   0 haribo_gold_bears_gummi_candy             0.826   0.748
  135.0   0 haribo_gold_bears_gummi_candy             0.385   0.338
  135.0   2 haribo_gold_bears_gummi_candy             0.394   0.206
  135.0   2 haribo_gold_bears_gummi_candy             0.374   0.228
  135.0   2 haribo_gold_bears_gummi_candy             0.367   0.061
  135.0   2 haribo_gold_bears_gummi_candy             0.352   0.254
  135.0   4 haribo_gold_bears_gummi_candy             0.979   0.946
  136.0   0 haribo_gold_bears_gummi_candy             0.973   0.921
  136.0   0 haribo_gold_bears_gummi_candy             0.818   0.759
  136.0   0 haribo_gold_bears_gummi_candy             0.712   0.679
  136.0   2 haribo_gold_bears_gummi_candy             0.660   0.524
  136.0   2 haribo_gold_bears_gummi_candy             0.514   0.406
  136.0   2 haribo_gold_bears_gummi_candy             0.409   0.335
  136.0   2 haribo_gold_bears_gummi_candy             0.389   0.218
  136.0   4 haribo_gold_bears_gummi_candy             0.967   0.935
  137.0   0 haribo_gold_bears_gummi_candy             0.973   0.924
  137.0   0 haribo_gold_bears_gummi_candy             0.931   0.881
  137.0   0 haribo_gold_bears_gummi_candy             0.927   0.871
  137.0   0 haribo_gold_bears_gummi_candy             0.689   0.667
  137.0   0 haribo_gold_bears_gummi_candy             0.399   0.380
  137.0   2 haribo_gold_bears_gummi_candy             0.680   0.578
  137.0   2 haribo_gold_bears_gummi_candy             0.454   0.383
  137.0   2 haribo_gold_bears_gummi_candy             0.402   0.324
  137.0   2 haribo_gold_bears_gummi_candy             0.384   0.173
  137.0   4 haribo_gold_bears_gummi_candy             0.974   0.943
  138.0   0 haribo_gold_bears_gummi_candy             0.970   0.920
  138.0   0 haribo_gold_bears_gummi_candy             0.930   0.863
  138.0   0 haribo_gold_bears_gummi_candy             0.826   0.776
  138.0   0 haribo_gold_bears_gummi_candy             0.693   0.663
  138.0   0 haribo_gold_bears_gummi_candy             0.452   0.401
  138.0   2 haribo_gold_bears_gummi_candy             0.656   0.511
  138.0   2 haribo_gold_bears_gummi_candy             0.501   0.402
  138.0   2 haribo_gold_bears_gummi_candy             0.477   0.413
  138.0   4 haribo_gold_bears_gummi_candy             0.971   0.938
  139.0   0 haribo_gold_bears_gummi_candy             0.954   0.882
  139.0   0 haribo_gold_bears_gummi_candy             0.783   0.707
  139.0   0 haribo_gold_bears_gummi_candy             0.746   0.686
  139.0   0 haribo_gold_bears_gummi_candy             0.417   0.375
  139.0   0 haribo_gold_bears_gummi_candy             0.361   0.324
  139.0   2 haribo_gold_bears_gummi_candy             0.360   0.275
  139.0   4 haribo_gold_bears_gummi_candy             0.980   0.945
  140.0   0 haribo_gold_bears_gummi_candy             0.974   0.922
  140.0   0 haribo_gold_bears_gummi_candy             0.894   0.825
  140.0   0 haribo_gold_bears_gummi_candy             0.802   0.758
  140.0   0 haribo_gold_bears_gummi_candy             0.518   0.476
  140.0   2 haribo_gold_bears_gummi_candy             0.357   0.252
  140.0   4 haribo_gold_bears_gummi_candy             0.976   0.941
  141.0   0 haribo_gold_bears_gummi_candy             0.975   0.931
  141.0   0 haribo_gold_bears_gummi_candy             0.836   0.787
  141.0   0 haribo_gold_bears_gummi_candy             0.742   0.700
  141.0   0 haribo_gold_bears_gummi_candy             0.615   0.578
  141.0   0 haribo_gold_bears_gummi_candy             0.500   0.456
  141.0   4 haribo_gold_bears_gummi_candy             0.980   0.944
  142.0   0 haribo_gold_bears_gummi_candy             0.974   0.924
  142.0   0 haribo_gold_bears_gummi_candy             0.914   0.858
  142.0   0 haribo_gold_bears_gummi_candy             0.771   0.707
  142.0   0 haribo_gold_bears_gummi_candy             0.520   0.508
  142.0   0 haribo_gold_bears_gummi_candy             0.493   0.462
  142.0   0 haribo_gold_bears_gummi_candy             0.457   0.442
  142.0   0 haribo_gold_bears_gummi_candy             0.455   0.437
  142.0   4 haribo_gold_bears_gummi_candy             0.977   0.938
  143.0   0 haribo_gold_bears_gummi_candy             0.978   0.921
  143.0   0 haribo_gold_bears_gummi_candy             0.918   0.842
