   time cam class                                      conf  margin
   77.0   3 twix                                      0.474   0.425
   78.0   0 twix                                      0.526   0.433
   78.0   0 twix                                      0.400   0.357
   78.0   1 haribo_gold_bears_gummi_candy             0.617   0.555
   78.0   2 haribo_gold_bears_gummi_candy             0.889   0.853
   78.0   2 haribo_gold_bears_gummi_candy             0.369   0.332
   78.0   3 twix                                      0.940   0.905
   79.0   0 twix                                      0.475   0.327
   79.0   1 haribo_gold_bears_gummi_candy             0.640   0.577
   79.0   2 haribo_gold_bears_gummi_candy             0.858   0.812
   79.0   2 haribo_gold_bears_gummi_candy             0.447   0.392
   79.0   3 twix                                      0.943   0.911
   80.0   0 twix                                      0.487   0.387
   80.0   0 twix                                      0.359   0.177
   80.0   1 haribo_gold_bears_gummi_candy             0.615   0.547
   80.0   2 haribo_gold_bears_gummi_candy             0.879   0.840
   80.0   2 haribo_gold_bears_gummi_candy             0.412   0.369
   80.0   2 haribo_gold_bears_gummi_candy             0.392   0.349
   80.0   3 twix                                      0.944   0.902
   81.0   0 twix                                      0.523   0.420
   81.0   0 twix                                      0.356   0.306
   81.0   1 haribo_gold_bears_gummi_candy             0.647   0.583
   81.0   2 haribo_gold_bears_gummi_candy             0.884   0.842
   81.0   3 twix                                      0.943   0.911
   82.0   0 twix                                      0.537   0.463
   82.0   0 twix                                      0.412   0.284
   82.0   0 twix                                      0.395   0.352
   82.0   1 haribo_gold_bears_gummi_candy             0.672   0.623
   82.0   2 haribo_gold_bears_gummi_candy             0.899   0.855
   82.0   2 haribo_gold_bears_gummi_candy             0.383   0.336
   82.0   3 twix                                      0.944   0.908
   83.0   0 twix                                      0.678   0.573
   83.0   0 twix                                      0.425   0.350
   83.0   0 twix                                      0.352   0.235
   83.0   1 haribo_gold_bears_gummi_candy             0.659   0.606
   83.0   2 haribo_gold_bears_gummi_candy             0.920   0.865
   83.0   3 twix                                      0.952   0.916
   84.0   0 twix                                      0.604   0.495
   84.0   0 twix                                      0.484   0.367
   84.0   0 twix                                      0.364   0.328
   84.0   1 haribo_gold_bears_gummi_candy             0.692   0.650
   84.0   2 haribo_gold_bears_gummi_candy             0.913   0.857
   84.0   2 haribo_gold_bears_gummi_candy             0.393   0.343
   84.0   3 twix                                      0.949   0.915
   85.0   3 twix                                      0.939   0.889
   86.0   0 twix                                      0.871   0.693
   86.0   1 haribo_gold_bears_gummi_candy             0.517   0.417
   86.0   2 haribo_gold_bears_gummi_candy             0.950   0.911
   86.0   3 twix                                      0.950   0.903
   87.0   0 twix                                      0.881   0.715
   87.0   2 haribo_gold_bears_gummi_candy             0.945   0.909
   87.0   2 haribo_gold_bears_gummi_candy             0.358   0.305
   87.0   2 haribo_gold_bears_gummi_candy             0.357   0.251
   87.0   3 twix                                      0.941   0.899
   88.0   0 twix                                      0.869   0.666
   88.0   1 haribo_gold_bears_gummi_candy             0.431   0.299
   88.0   2 haribo_gold_bears_gummi_candy             0.954   0.916
   88.0   2 haribo_gold_bears_gummi_candy             0.471   0.421
   88.0   3 twix                                      0.944   0.893
   89.0   0 twix                                      0.897   0.775
   89.0   2 haribo_gold_bears_gummi_candy             0.960   0.914
   89.0   3 twix                                      0.947   0.909
   90.0   0 twix                                      0.906   0.793
   90.0   1 haribo_gold_bears_gummi_candy             0.406   0.299
   90.0   2 haribo_gold_bears_gummi_candy             0.957   0.916
   90.0   3 twix                                      0.948   0.903
   91.0   0 twix                                      0.866   0.696
   91.0   2 haribo_gold_bears_gummi_candy             0.951   0.908
   91.0   2 haribo_gold_bears_gummi_candy             0.373   0.307
   91.0   3 twix                                      0.944   0.898
   92.0   0 twix                                      0.903   0.802
   92.0   1 haribo_gold_bears_gummi_candy             0.429   0.337
   92.0   2 haribo_gold_bears_gummi_candy             0.957   0.912
   92.0   3 twix                                      0.947   0.909
   93.0   0 twix                                      0.875   0.713
   93.0   1 haribo_gold_bears_gummi_candy             0.440   0.346
   93.0   2 haribo_gold_bears_gummi_candy             0.957   0.902
   93.0   3 twix                                      0.945   0.907
   94.0   0 twix                                      0.881   0.733
   94.0   1 haribo_gold_bears_gummi_candy             0.496   0.387
   94.0   2 haribo_gold_bears_gummi_candy             0.951   0.911
   94.0   2 haribo_gold_bears_gummi_candy             0.398   0.337
   94.0   3 twix                                      0.942   0.906
   95.0   0 twix                                      0.882   0.746
   95.0   2 haribo_gold_bears_gummi_candy             0.953   0.899
   95.0   3 twix                                      0.943   0.895
   96.0   0 twix                                      0.858   0.671
   96.0   1 haribo_gold_bears_gummi_candy             0.445   0.374
   96.0   2 haribo_gold_bears_gummi_candy             0.920   0.885
   96.0   2 haribo_gold_bears_gummi_candy             0.451   0.406
   96.0   2 haribo_gold_bears_gummi_candy             0.373   0.334
   96.0   3 twix                                      0.955   0.920
   97.0   1 haribo_gold_bears_gummi_candy             0.513   0.447
   97.0   2 haribo_gold_bears_gummi_candy             0.938   0.910
   97.0   3 twix                                      0.954   0.927
