   time cam class                                      conf  margin
   44.0   0 hunts_sauce                               0.830   0.748
   44.0   0 hunts_sauce                               0.718   0.686
   44.0   0 hunts_sauce                               0.457   0.434
   44.2   0 hunts_sauce                               0.790   0.684
   44.2   0 hunts_sauce                               0.678   0.621
   44.4   0 hunts_sauce                               0.800   0.717
   44.4   0 hunts_sauce                               0.704   0.659
   44.4   0 hunts_sauce                               0.373   0.344
   44.6   0 hunts_sauce                               0.794   0.711
   44.6   0 hunts_sauce                               0.676   0.628
   44.8   0 hunts_sauce                               0.844   0.759
   44.8   0 hunts_sauce                               0.684   0.638
   44.8   0 hunts_sauce                               0.369   0.331
   45.0   0 hunts_sauce                               0.834   0.750
   45.0   0 hunts_sauce                               0.690   0.642
   45.2   0 hunts_sauce                               0.873   0.792
   45.2   0 hunts_sauce                               0.614   0.589
   45.2   0 hunts_sauce                               0.466   0.428
   45.4   0 hunts_sauce                               0.868   0.798
   45.4   0 hunts_sauce                               0.692   0.657
   45.6   0 hunts_sauce                               0.830   0.748
   45.6   0 hunts_sauce                               0.689   0.646
   45.8   0 hunts_sauce                               0.824   0.739
   45.8   0 hunts_sauce                               0.697   0.633
   46.0   0 hunts_sauce                               0.875   0.801
   46.0   0 hunts_sauce                               0.737   0.706
   46.0   0 hunts_sauce                               0.437   0.419
   46.2   0 hunts_sauce                               0.830   0.736
   46.2   0 hunts_sauce                               0.680   0.646
   46.4   0 hunts_sauce                               0.750   0.666
   46.4   0 hunts_sauce                               0.585   0.554
   46.6   0 hunts_sauce                               0.824   0.735
   46.6   0 hunts_sauce                               0.702   0.651
   46.8   0 hunts_sauce                               0.695   0.621
   46.8   0 hunts_sauce                               0.624   0.593
   46.8   0 hunts_sauce                               0.350   0.307
   47.0   0 hunts_sauce                               0.795   0.717
   47.0   0 hunts_sauce                               0.666   0.631
   47.2   0 hunts_sauce                               0.731   0.633
   47.2   0 hunts_sauce                               0.646   0.597
   47.4   0 hunts_sauce                               0.696   0.612
   47.4   0 hunts_sauce                               0.641   0.600
   47.6   0 hunts_sauce                               0.785   0.713
   47.6   0 hunts_sauce                               0.661   0.617
   47.8   0 hunts_sauce                               0.786   0.705
   47.8   0 hunts_sauce                               0.616   0.570
   48.0   0 hunts_sauce                               0.762   0.714
   48.0   0 hunts_sauce                               0.641   0.614
   48.2   0 hunts_sauce                               0.722   0.656
   48.2   0 hunts_sauce                               0.681   0.650
   48.4   0 hunts_sauce                               0.778   0.703
   48.4   0 hunts_sauce                               0.618   0.593
   48.6   0 hunts_sauce                               0.821   0.746
   48.6   0 hunts_sauce                               0.695   0.657
   48.8   0 hunts_sauce                               0.741   0.657
   48.8   0 hunts_sauce                               0.673   0.636
   48.8   3 hunts_sauce                               0.570   0.331
   48.8   3 hunts_sauce                               0.523   0.442
   48.8   3 hunts_sauce                               0.412   0.223
   48.8   3 hunts_sauce                               0.387   0.059
   48.8   4 hunts_sauce                               0.535   0.337
   49.0   0 hunts_sauce                               0.779   0.702
   49.0   0 hunts_sauce                               0.615   0.581
   49.0   3 hunts_sauce                               0.769   0.720
