   time cam class                                      conf  margin
  110.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.974   0.957
  110.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.772   0.705
  110.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.423   0.234
  110.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.974   0.956
  110.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.718   0.660
  110.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.488   0.345
  111.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.968   0.939
  111.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.697   0.625
  111.0   3 pepperidge_farm_milk_chocolate_macadamia_cookies  0.360   0.091
  111.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.969   0.943
  111.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.693   0.627
  112.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.968   0.936
  112.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.705   0.645
  112.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.462   0.304
  112.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.970   0.950
  112.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.713   0.639
  112.5   3 pepperidge_farm_milk_chocolate_macadamia_cookies  0.365   0.148
  113.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.964   0.934
  113.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.722   0.662
  113.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.967   0.945
  113.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.729   0.663
  114.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.964   0.938
  114.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.815   0.737
  114.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.956   0.903
  114.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.769   0.720
  115.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.958   0.930
  115.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.375   0.340
  115.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.700   0.651
  115.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.956   0.928
  115.5   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.371   0.306
  115.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.727   0.664
  116.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.957   0.924
  116.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.472   0.415
  116.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.702   0.651
  116.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.956   0.920
  116.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.689   0.620
  117.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.958   0.920
  117.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.364   0.306
  117.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.708   0.647
  117.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.863   0.821
  117.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.724   0.653
  118.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.687   0.656
  118.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.542   0.524
  118.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.525   0.462
  118.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.442   0.387
  118.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.428   0.375
  118.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.404   0.350
  118.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.552   0.480
  118.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.587   0.569
  118.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.571   0.541
  118.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.430   0.401
  118.5   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.612   0.567
  118.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.555   0.493
  119.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.567   0.548
  119.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.556   0.533
  119.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.462   0.422
  119.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.423   0.336
  119.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.567   0.501
  119.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.623   0.594
  119.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.522   0.506
  119.5   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.460   0.376
  119.5   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.449   0.378
  119.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.486   0.417
  120.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.625   0.593
  120.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.574   0.539
  120.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.557   0.532
  120.0   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.489   0.472
  120.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.470   0.385
  120.0   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.454   0.396
  120.0   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.417   0.350
  120.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.688   0.663
  120.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.666   0.645
  120.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.369   0.342
  120.5   0 pepperidge_farm_milk_chocolate_macadamia_cookies  0.358   0.339
  120.5   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.594   0.529
  120.5   1 pepperidge_farm_milk_chocolate_macadamia_cookies  0.396   0.355
  120.5   2 pepperidge_farm_milk_chocolate_macadamia_cookies  0.441   0.368
