   time cam class                                      conf  margin
    0.0   4 bulls_eye_bbq_sauce_original              0.626   0.087
    1.0   4 bulls_eye_bbq_sauce_original              0.428   0.296
    2.0   3 bulls_eye_bbq_sauce_original              0.355   0.137
    2.0   4 bulls_eye_bbq_sauce_original              0.899   0.667
    3.0   4 bulls_eye_bbq_sauce_original              0.699   0.261
  133.0   1 chewy_dips_chocolate_chip                 0.498   0.405
  134.0   1 chewy_dips_chocolate_chip                 0.367   0.301
  135.0   2 cheerios                                  0.432   0.209
  140.0   2 cheerios                                  0.487   0.163
  141.0   0 chewy_dips_chocolate_chip                 0.496   0.378
  141.0   0 chewy_dips_chocolate_chip                 0.475   0.411
  141.0   0 chewy_dips_chocolate_chip                 0.401   0.293
  141.0   0 chewy_dips_chocolate_chip                 0.387   0.308
  141.0   0 chewy_dips_chocolate_chip                 0.365   0.284
  141.0   0 chewy_dips_chocolate_chip                 0.364   0.246
  141.0   1 chewy_dips_chocolate_chip                 0.524   0.422
  141.0   1 chewy_dips_chocolate_chip                 0.513   0.451
  141.0   1 chewy_dips_chocolate_chip                 0.451   0.361
  141.0   1 chewy_dips_chocolate_chip                 0.394   0.332
  141.0   1 chewy_dips_chocolate_chip                 0.360   0.308
  141.0   2 chewy_dips_chocolate_chip                 0.850   0.824
  141.0   2 chewy_dips_chocolate_chip                 0.742   0.665
  141.0   2 cheerios                                  0.521   0.273
  141.0   2 chewy_dips_chocolate_chip                 0.399   0.352
  141.0   3 chewy_dips_chocolate_chip                 0.960   0.922
  141.0   3 chewy_dips_chocolate_chip                 0.784   0.724
  141.0   3 chewy_dips_chocolate_chip                 0.719   0.491
  141.0   3 chewy_dips_chocolate_chip                 0.415   0.243
  141.0   4 chewy_dips_chocolate_chip                 0.503   0.401
  141.0   4 chewy_dips_chocolate_chip                 0.388   0.314
  142.0   0 chewy_dips_chocolate_chip                 0.493   0.229
  142.0   0 chewy_dips_chocolate_chip                 0.394   0.197
  142.0   1 chewy_dips_chocolate_chip                 0.467   0.232
  142.0   1 chewy_dips_chocolate_chip                 0.368   0.178
  142.0   2 chewy_dips_chocolate_chip                 0.962   0.949
  142.0   2 chewy_dips_chocolate_chip                 0.737   0.730
  142.0   2 chewy_dips_chocolate_chip                 0.713   0.617
  142.0   2 chewy_dips_chocolate_chip                 0.674   0.567
  142.0   2 cheerios                                  0.657   0.453
  142.0   2 chewy_dips_chocolate_chip                 0.444   0.411
  142.0   3 chewy_dips_chocolate_chip                 0.947   0.909
  142.0   3 chewy_dips_chocolate_chip                 0.900   0.856
  142.0   3 chewy_dips_chocolate_chip                 0.774   0.454
  142.0   3 chewy_dips_chocolate_chip                 0.757   0.735
  142.0   3 chewy_dips_chocolate_chip                 0.351   0.291
  142.0   4 chewy_dips_chocolate_chip                 0.566   0.513
  142.0   4 chewy_dips_chocolate_chip                 0.560   0.515
  142.0   4 chewy_dips_chocolate_chip                 0.363   0.339
  142.0   4 chewy_dips_chocolate_chip                 0.351   0.330
  143.0   0 chewy_dips_chocolate_chip                 0.444   0.182
  143.0   1 chewy_dips_chocolate_chip                 0.494   0.288
  143.0   1 chewy_dips_chocolate_chip                 0.467   0.224
  143.0   2 chewy_dips_chocolate_chip                 0.963   0.949
  143.0   2 chewy_dips_chocolate_chip                 0.799   0.662
  143.0   2 chewy_dips_chocolate_chip                 0.702   0.694
  143.0   2 cheerios                                  0.673   0.460
