   time cam class                                      conf  margin
  155.0   0 chewy_dips_peanut_butter                  0.726   0.695
  155.0   0 chewy_dips_peanut_butter                  0.510   0.254
  155.0   1 chewy_dips_peanut_butter                  0.459   0.248
  155.0   1 chewy_dips_peanut_butter                  0.450   0.373
  155.0   1 chewy_dips_peanut_butter                  0.448   0.292
  155.0   1 chewy_dips_peanut_butter                  0.407   0.298
  155.0   2 chewy_dips_peanut_butter                  0.977   0.960
  155.0   2 chewy_dips_peanut_butter                  0.584   0.461
  155.0   3 chewy_dips_peanut_butter                  0.942   0.905
  155.0   3 chewy_dips_peanut_butter                  0.677   0.449
  155.0   4 chewy_dips_peanut_butter                  0.967   0.937
  155.3   0 chewy_dips_peanut_butter                  0.708   0.680
  155.3   0 chewy_dips_peanut_butter                  0.613   0.432
  155.3   1 chewy_dips_peanut_butter                  0.495   0.124
  155.3   1 chewy_dips_peanut_butter                  0.483   0.396
  155.3   1 chewy_dips_peanut_butter                  0.390   0.303
  155.3   2 chewy_dips_peanut_butter                  0.976   0.961
  155.3   2 chewy_dips_peanut_butter                  0.615   0.503
  155.3   3 chewy_dips_peanut_butter                  0.960   0.941
  155.3   3 chewy_dips_peanut_butter                  0.666   0.428
  155.3   4 chewy_dips_peanut_butter                  0.976   0.942
  155.6   0 chewy_dips_peanut_butter                  0.730   0.702
  155.6   0 chewy_dips_peanut_butter                  0.553   0.324
  155.6   0 chewy_dips_peanut_butter                  0.350   0.098
  155.6   1 chewy_dips_peanut_butter                  0.600   0.309
  155.6   1 chewy_dips_peanut_butter                  0.436   0.301
  155.6   1 chewy_dips_peanut_butter                  0.398   0.323
  155.6   1 chewy_dips_peanut_butter                  0.389   0.235
  155.6   2 chewy_dips_peanut_butter                  0.979   0.963
  155.6   2 chewy_dips_peanut_butter                  0.606   0.482
  155.6   3 chewy_dips_peanut_butter                  0.953   0.929
  155.6   3 chewy_dips_peanut_butter                  0.708   0.473
  155.6   3 chewy_dips_peanut_butter                  0.373   0.137
  155.6   4 chewy_dips_peanut_butter                  0.974   0.943
  155.9   0 chewy_dips_peanut_butter                  0.714   0.685
  155.9   0 chewy_dips_peanut_butter                  0.423   0.218
  155.9   0 chewy_dips_peanut_butter                  0.382   0.167
  155.9   0 chewy_dips_peanut_butter                  0.379   0.254
  155.9   1 chewy_dips_peanut_butter                  0.512   0.251
  155.9   1 chewy_dips_peanut_butter                  0.479   0.358
  155.9   1 chewy_dips_peanut_butter                  0.466   0.381
  155.9   2 chewy_dips_peanut_butter                  0.979   0.963
  155.9   2 chewy_dips_peanut_butter                  0.619   0.504
  155.9   3 chewy_dips_peanut_butter                  0.952   0.929
  155.9   3 chewy_dips_peanut_butter                  0.656   0.367
  155.9   4 chewy_dips_peanut_butter                  0.972   0.941
  156.2   0 chewy_dips_peanut_butter                  0.722   0.691
  156.2   0 chewy_dips_peanut_butter                  0.621   0.467
  156.2   1 chewy_dips_peanut_butter                  0.528   0.230
  156.2   1 chewy_dips_peanut_butter                  0.422   0.294
  156.2   1 chewy_dips_peanut_butter                  0.351   0.226
  156.2   2 chewy_dips_peanut_butter                  0.978   0.963
  156.2   2 chewy_dips_peanut_butter                  0.648   0.538
  156.2   3 chewy_dips_peanut_butter                  0.957   0.935
  156.2   3 chewy_dips_peanut_butter                  0.660   0.475
  156.2   3 chewy_dips_peanut_butter                  0.623   0.356
  156.2   4 chewy_dips_peanut_butter                  0.968   0.933
  156.5   0 chewy_dips_peanut_butter                  0.746   0.718
  156.5   0 chewy_dips_peanut_butter                  0.441   0.138
  156.5   0 chewy_dips_peanut_butter                  0.402   0.250
  156.5   1 chewy_dips_peanut_butter                  0.427   0.013
  156.5   1 chewy_dips_peanut_butter                  0.425   0.081
  156.5   1 chewy_dips_peanut_butter                  0.389   0.293
  156.5   2 chewy_dips_peanut_butter                  0.978   0.964
  156.5   2 chewy_dips_peanut_butter                  0.590   0.483
  156.5   3 chewy_dips_peanut_butter                  0.960   0.940
  156.5   3 chewy_dips_peanut_butter                  0.665   0.423
  156.5   3 chewy_dips_peanut_butter                  0.372   0.200
  156.5   4 chewy_dips_peanut_butter                  0.974   0.949
  156.8   0 chewy_dips_peanut_butter                  0.705   0.675
  156.8   0 chewy_dips_peanut_butter                  0.513   0.271
  156.8   0 chewy_dips_peanut_butter                  0.450   0.118
  156.8   0 chewy_dips_peanut_butter                  0.441   0.220
  156.8   1 reeses_pieces                             0.760   0.636
  156.8   1 chewy_dips_peanut_butter                  0.539   0.109
  156.8   1 chewy_dips_peanut_butter                  0.362   0.276
  156.8   1 chewy_dips_peanut_butter                  0.352   0.263
  156.8   2 chewy_dips_peanut_butter                  0.979   0.965
  156.8   2 reeses_pieces                             0.386   0.322
  156.8   2 chewy_dips_peanut_butter                  0.367   0.276
  156.8   3 chewy_dips_peanut_butter                  0.951   0.924
  156.8   3 reeses_pieces                             0.688   0.565
  156.8   3 chewy_dips_peanut_butter                  0.537   0.164
  156.8   4 chewy_dips_peanut_butter                  0.968   0.942
  157.1   0 chewy_dips_peanut_butter                  0.715   0.680
  157.1   0 chewy_dips_peanut_butter                  0.527   0.276
  157.1   0 chewy_dips_peanut_butter                  0.454   0.200
  157.1   1 reeses_pieces                             0.824   0.740
  157.1   1 chewy_dips_peanut_butter                  0.470   0.057
  157.1   1 chewy_dips_peanut_butter                  0.467   0.377
  157.1   1 chewy_dips_peanut_butter                  0.459   0.358
  157.1   1 chewy_dips_peanut_butter                  0.396   0.274
  157.1   1 chewy_dips_peanut_butter                  0.364   0.081
  157.1   2 chewy_dips_peanut_butter                  0.979   0.965
  157.1   2 chewy_dips_peanut_butter                  0.466   0.350
  157.1   3 chewy_dips_peanut_butter                  0.948   0.921
  157.1   3 reeses_pieces                             0.914   0.841
  157.1   4 chewy_dips_peanut_butter                  0.964   0.936
  157.4   0 chewy_dips_peanut_butter                  0.779   0.749
  157.4   0 chewy_dips_peanut_butter                  0.544   0.278
  157.4   1 reeses_pieces                             0.786   0.702
  157.4   1 chewy_dips_peanut_butter                  0.472   0.009
  157.4   1 chewy_dips_peanut_butter                  0.457   0.344
  157.4   1 chewy_dips_peanut_butter                  0.409   0.257
  157.4   2 chewy_dips_peanut_butter                  0.978   0.965
  157.4   2 chewy_dips_peanut_butter                  0.380   0.272
  157.4   3 chewy_dips_peanut_butter                  0.934   0.908
  157.4   3 reeses_pieces                             0.910   0.819
  157.4   3 chewy_dips_peanut_butter                  0.378   0.158
  157.4   3 chewy_dips_peanut_butter                  0.366   0.065
  157.4   4 chewy_dips_peanut_butter                  0.967   0.939
  157.7   0 chewy_dips_peanut_butter                  0.737   0.704
  157.7   0 chewy_dips_peanut_butter                  0.484   0.255
  157.7   0 chewy_dips_peanut_butter                  0.360   0.136
  157.7   0 chewy_dips_peanut_butter                  0.351   0.031
  157.7   1 reeses_pieces                             0.794   0.706
  157.7   1 chewy_dips_peanut_butter                  0.621   0.177
  157.7   1 chewy_dips_peanut_butter                  0.435   0.353
  157.7   1 chewy_dips_peanut_butter                  0.429   0.298
  157.7   2 chewy_dips_peanut_butter                  0.979   0.965
  157.7   2 chewy_dips_peanut_butter                  0.427   0.321
  157.7   3 chewy_dips_peanut_butter                  0.934   0.903
  157.7   3 reeses_pieces                             0.903   0.836
  157.7   3 chewy_dips_peanut_butter                  0.607   0.296
  157.7   4 chewy_dips_peanut_butter                  0.967   0.939
  158.0   0 chewy_dips_peanut_butter                  0.723   0.688
  158.0   0 chewy_dips_peanut_butter                  0.576   0.389
  158.0   0 chewy_dips_peanut_butter                  0.415   0.117
  158.0   0 chewy_dips_peanut_butter                  0.356   0.063
  158.0   0 chewy_dips_peanut_butter                  0.354   0.272
  158.0   1 reeses_pieces                             0.800   0.723
  158.0   1 chewy_dips_peanut_butter                  0.490   0.335
  158.0   1 chewy_dips_peanut_butter                  0.460   0.308
  158.0   1 chewy_dips_peanut_butter                  0.452   0.064
  158.0   1 chewy_dips_peanut_butter                  0.404   0.324
  158.0   1 chewy_dips_peanut_butter                  0.386   0.197
  158.0   2 chewy_dips_peanut_butter                  0.977   0.963
  158.0   2 chewy_dips_peanut_butter                  0.357   0.292
  158.0   3 chewy_dips_peanut_butter                  0.951   0.926
  158.0   3 reeses_pieces                             0.908   0.816
  158.0   3 chewy_dips_peanut_butter                  0.452   0.078
  158.0   4 chewy_dips_peanut_butter                  0.968   0.944
