   time cam class                                      conf  margin
    0.0   1 frappuccino_coffee                        0.429   0.392
    0.0   2 frappuccino_coffee                        0.973   0.951
    0.0   2 hunts_sauce                               0.667   0.353
    0.0   2 hunts_sauce                               0.442   0.142
    0.0   2 hunts_sauce                               0.392   0.250
    0.0   2 hunts_sauce                               0.364   0.135
    0.0   3 frappuccino_coffee                        0.967   0.944
    0.0   3 hunts_sauce                               0.552   0.036
    0.0   3 hunts_sauce                               0.545   0.111
    0.0   3 hunts_sauce                               0.478   0.148
    1.0   2 frappuccino_coffee                        0.980   0.958
    1.0   2 hunts_sauce                               0.700   0.362
    1.0   2 hunts_sauce                               0.588   0.094
    1.0   2 hunts_sauce                               0.449   0.305
    1.0   2 hunts_sauce                               0.356   0.088
    1.0   3 frappuccino_coffee                        0.977   0.958
    1.0   3 hunts_sauce                               0.578   0.151
    2.0   2 frappuccino_coffee                        0.979   0.963
    2.0   2 hunts_sauce                               0.790   0.601
    2.0   2 hunts_sauce                               0.770   0.464
    2.0   2 hunts_sauce                               0.455   0.270
    2.0   2 hunts_sauce                               0.354   0.277
    2.0   3 frappuccino_coffee                        0.974   0.953
    3.0   2 frappuccino_coffee                        0.982   0.964
    3.0   2 hunts_sauce                               0.710   0.472
    3.0   2 hunts_sauce                               0.645   0.216
    3.0   2 hunts_sauce                               0.559   0.487
    3.0   2 hunts_sauce                               0.369   0.228
    3.0   3 frappuccino_coffee                        0.975   0.953
    3.0   3 hunts_sauce                               0.412   0.076
    3.0   3 hunts_sauce                               0.379   0.124
    4.0   1 frappuccino_coffee                        0.446   0.420
    4.0   2 frappuccino_coffee                        0.980   0.962
    4.0   2 hunts_sauce                               0.778   0.420
    4.0   2 hunts_sauce                               0.777   0.480
    4.0   2 hunts_sauce                               0.557   0.438
    4.0   2 hunts_sauce                               0.548   0.425
    4.0   2 hunts_sauce                               0.402   0.327
    4.0   3 frappuccino_coffee                        0.977   0.956
    5.0   1 frappuccino_coffee                        0.366   0.329
    5.0   2 frappuccino_coffee                        0.979   0.954
    5.0   2 hunts_sauce                               0.877   0.735
    5.0   2 hunts_sauce                               0.661   0.491
    5.0   2 hunts_sauce                               0.588   0.496
    5.0   2 hunts_sauce                               0.415   0.334
    5.0   3 frappuccino_coffee                        0.976   0.954
    5.0   3 hunts_sauce                               0.481   0.015
    6.0   2 frappuccino_coffee                        0.979   0.955
    6.0   3 frappuccino_coffee                        0.976   0.950
    7.0   2 frappuccino_coffee                        0.979   0.959
    7.0   3 frappuccino_coffee                        0.972   0.943
    8.0   2 frappuccino_coffee                        0.979   0.955
    8.0   3 frappuccino_coffee                        0.971   0.940
    9.0   1 frappuccino_coffee                        0.429   0.403
    9.0   2 frappuccino_coffee                        0.973   0.952
    9.0   3 frappuccino_coffee                        0.970   0.943
   10.0   1 frappuccino_coffee                        0.393   0.370
   10.0   2 frappuccino_coffee                        0.858   0.782
   10.0   3 frappuccino_coffee                        0.970   0.938
   11.0   1 frappuccino_coffee                        0.439   0.401
   11.0   2 frappuccino_coffee                        0.967   0.955
   11.0   3 frappuccino_coffee                        0.968   0.939
   12.0   1 frappuccino_coffee                        0.530   0.490
   12.0   1 frappuccino_coffee                        0.382   0.354
   12.0   2 frappuccino_coffee                        0.962   0.947
   12.0   3 frappuccino_coffee                        0.949   0.921
