time_sec,class_name,action
3.8,palmolive_orange,구매
5.4,bulls_eye_bbq_sauce_original,구매
7.13,spam,구매
8.87,campbells_chunky_classic_chicken_noodle,구매
10.67,crystal_hot_sauce,구매
14.8,campbells_chicken_noodle_soup,구매
15.0,monster_energy,구매
16.47,hersheys_cocoa,구매
18.0,frappuccino_coffee,구매
18.8,redbull,구매
21.67,cholula_chipotle_hot_sauce,구매
22.87,tapatio_hot_sauce,구매
25.4,dr_pepper,구매
27.0,a1_steak_sauce,구매
28.8,coca_cola_glass_bottle,구매
31.2,aunt_jemima_original_syrup,구매
35.2,white_rain_body_wash,구매
35.53,pringles_bbq,구매
38.07,listerine_green,구매
41.6,coffee_mate_french_vanilla,반환
43.93,jif_creamy_peanut_butter,반환
46.27,pop_tararts_strawberry,반환
49.93,pepperidge_farm_milk_chocolate_macadamia_cookies,반환
52.27,hunts_sauce,반환
55.4,pepperidge_farm_milano_cookies_double_chocolate,반환
58.33,mom_to_mom_butternut_squash_pear,반환
61.93,bumblebee_albacore,반환
64.8,dove_white,반환
67.47,band_aid_clear_strips,반환
70.87,mom_to_mom_sweet_potato_corn_apple,반환
73.8,dove_pink,반환
75.27,crayola_24_crayons,반환
78.8,snickers,반환
80.33,twix,반환
83.07,hersheys_bar,반환
85.8,toblerone_milk_chocolate,반환
88.53,kitkat_king_size,반환
91.53,arm_hammer_baking_soda,반환
93.8,martinellis_apple_juice,반환
96.0,arm_hammer_baking_soda,구매
97.13,hersheys_bar,구매
98.27,snickers,구매
99.53,twix,구매
101.93,toblerone_milk_chocolate,구매
103.2,martinellis_apple_juice,구매
104.93,bumblebee_albacore,구매
106.53,dove_white,구매
108.4,dove_pink,구매
109.73,crayola_24_crayons,구매
111.47,kitkat_king_size,구매
113.27,mom_to_mom_butternut_squash_pear,구매
114.8,band_aid_clear_strips,구매
117.07,pepperidge_farm_milano_cookies_double_chocolate,구매
118.07,mom_to_mom_sweet_potato_corn_apple,구매
119.8,hunts_sauce,구매
122.47,jif_creamy_peanut_butter,구매
124.87,coffee_mate_french_vanilla,구매
126.13,pepperidge_farm_milk_chocolate_macadamia_cookies,구매
128.67,pop_tararts_strawberry,구매
133.6,haribo_gold_bears_gummi_candy,반환
135.67,lindt_excellence_cocoa_dark_chocolate,반환
138.0,hersheys_symphony,반환
141.33,nature_vally_fruit_and_nut,반환
144.0,chewy_dips_chocolate_chip,반환
146.6,quaker_big_chewy_chocolate_chip,반환
148.87,chewy_dips_peanut_butter,반환
151.93,nature_valley_crunchy_oats_n_honey,반환
154.93,clif_z_bar_chocolate_chip,반환
157.67,act_ii_butter_lovers_popcorn,반환
159.53,reeses_pieces,반환
160.27,lindt_excellence_cocoa_dark_chocolate,구매
161.33,act_ii_butter_lovers_popcorn,구매
163.07,reeses_pieces,구매
163.4,chewy_dips_peanut_butter,구매
165.2,haribo_gold_bears_gummi_candy,구매
167.53,hersheys_symphony,구매
170.0,nature_valley_crunchy_oats_n_honey,구매
171.53,clif_z_bar_chocolate_chip,구매
172.93,quaker_big_chewy_chocolate_chip,구매
174.93,chewy_dips_chocolate_chip,구매
176.87,nature_vally_fruit_and_nut,구매
180.6,david_sunflower_seeds,반환
184.27,mahatma_rice,반환
184.93,cheeze_it,반환
189.07,clif_crunch_peanut_butter,반환
193.53,honey_bunches_of_oats_honey_roasted,반환
195.87,cheerios,반환
198.87,cheerios,구매
201.0,honey_bunches_of_oats_honey_roasted,구매
203.47,clif_crunch_peanut_butter,구매
205.93,cheeze_it,구매
207.87,david_sunflower_seeds,구매
211.33,mahatma_rice,구매
214.2,cinnamon_toast_crunch,반환
217.67,nabisco_nilla_wafers,반환
219.27,honey_bunches_of_oats_with_almonds,반환
223.13,ritz_crackers,반환
225.0,nature_vally_fruit_and_nut,반환
226.13,chewy_dips_chocolate_chip,반환
228.2,ritz_crackers,구매
229.13,chewy_dips_chocolate_chip,구매
230.93,nature_vally_fruit_and_nut,구매
232.87,cinnamon_toast_crunch,구매
234.87,honey_bunches_of_oats_with_almonds,구매
236.6,nabisco_nilla_wafers,구매
